Pregunta,Malas,Totales,Porcentaje
 ¿En cuál de estas palabras se encuentra la letra R?  El árbol tiene muchas hojas y frutos.,0,2,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  gigante,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra M?  Me gusta mucho el jugo de manzanas.,1,2,0.5
 ¿Cuántas consonantes tiene la siguiente palabra?  empanada,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra P?  Mi país se llama Chile.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra P?  Mis abuelos vendrán a casa para Navidad.,0,2,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  profesor,0,2,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  escuela,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra Ñ?  Las arañas tienen ocho patas.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra F?  En septiembre me gusta ir a las fondas.,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra G?  Mi gato se llama Fígaro.,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  flauta,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra G?  En mi estuche tengo lápices y goma.,0,2,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  auto,0,3,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  baile,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra W?  Isaac Newton es un científico muy conocido.,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  caracol,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  frutilla,0,5,0.0
 ¿Cuál de las palabras tiene como inicial la letra b?  Fabián es el mejor amigo de Carlos.,1,3,0.333333333333
 ¿En cuál de estas palabras se encuentra la letra Ñ?  Aníbal fue de escursión a la montaña.,0,1,0.0
 ¿En cuál de estas  dos palabras encontramos  el sonido L?  ,0,2,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  bicicleta,0,1,0.0
 Presiona la letra h  ,4,23,0.173913043478
 ¿En cuál de estas palabras se encuentra la letra N?  Mi abuelito tiene una nariz grande.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra M?  Fabían escucha música muy fuerte.,2,3,0.666666666667
 ¿Cuántas vocales tiene la siguiente palabra?  noche,1,7,0.142857142857
 ¿En cuál de estas palabras se encuentra la letra K?  A mi hermano le gusta practicar karate.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra L?  La maleta de Manuel está pesada.,0,2,0.0
 Presiona la letra ñ  ,10,29,0.344827586207
 ¿En cuál de estas palabras se encuentra la letra Q?  Patricio llegó quinto lugar en la competencia de atletismo.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra J?  Ayer encontré una jaiba en la playa.,0,1,0.0
 Presiona la letra b  ,5,15,0.333333333333
 ¿En cuál de estas palabras se encuentra la letra R?  Ramón visitó a su abuelita el sábado.,0,6,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  sombrero,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra M?  Laura es la mejor amiga de Isidora.,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra J?  Juanito compró caramelos y helados.,0,2,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  cuento,1,3,0.333333333333
 ¿Cuántas consonantes tiene la siguiente palabra?  noche,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra P?  Mis tíos viven en la comuna de Puente Alto.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra R?  Tengo rosas y tulipanes en mi jardín.,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  caballo,0,2,0.0
 ¿En cuál de estas  dos palabras  se encuentra la A como sonido final?  ,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Z?  José y Arturo visitaron el zoológico.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra M?  La mochila de Juan es grande.,0,2,0.0
 Presiona la letra z  ,4,13,0.307692307692
 ¿En cuál de estas palabras se encuentra la letra Y griega?  Mi amigo y yo nos juntaremos a jugar.,0,1,0.0
 Presiona la letra u  ,8,16,0.5
 ¿En cuál de estas palabras se encuentra la letra v?  Las águilas pueden volar muy alto.,2,4,0.5
 ¿Cuántas vocales tiene la siguiente palabra?  abuelita,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra v?  En mi colegio hay un taller de violín.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra b?  En el sur de Chile hay lindos bosques. ,3,4,0.75
 ¿Cuántas vocales tiene la siguiente palabra?  vacaciones,0,2,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  auto,1,1,1.0
 ¿Cuántas consonantes tiene la siguiente palabra?  abuelita,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  cuento,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra M?  Yo tengo muchos amigos.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra N?  Me gusta acostarme en el pasto y mirar las nubes.,2,3,0.666666666667
 ¿En cuál de estas palabras se encuentra la letra R?  El almuerzo estuvo muy rico.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra F?  La foca juega con la pelota.,0,2,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  canario,0,2,0.0
 ¿En cuál de estas  dos palabras  se encuentra la U como sonido final?  ,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  farmacia,0,2,0.0
 ¿Cuál de las palabras tiene como inicial la letra D?  Me gusta mucho dibujar y pintar.,2,3,0.666666666667
 ¿Cuántas consonantes tiene la siguiente palabra?  panaderos,0,1,0.0
 Presiona la letra d  ,9,22,0.409090909091
 ¿Cuántas consonantes tiene la siguiente palabra?  estuche,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra P?  Mi mamá tiene el pelo muy largo.,0,2,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  carta,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra N?  Una tórtola hizo un nido en mi jardín.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra L?  A mi lápiz no le queda punta.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra P?  Me gusta comer pan con manjar.,1,2,0.5
 ¿Cuántas consonantes tiene la siguiente palabra?  computador,0,2,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  gallina,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra b?  Muchas botellas de plástico se reciclan.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra b?  La tía de Sofía es muy bonita.,0,3,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  escuela,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra R?  Octavio regaló un ramo de flores a su tía.,0,2,0.0
 Presiona la letra e  ,4,12,0.333333333333
 ¿En cuál de estas palabras se encuentra la letra R?  Las ranas son anfibios que viven en todo el mundo.,0,3,0.0
 ¿Cuál de las palabras tiene como inicial la letra b?  La boca de ese payaso está pintada de rojo.,0,1,0.0
 Presiona la letra k  ,4,12,0.333333333333
 ¿Cuál de las palabras tiene como inicial la letra b?  En mi barrio hay muchas flores en primavera. ,0,1,0.0
 Presiona la letra q  ,14,22,0.636363636364
 ¿Cuántas consonantes tiene la siguiente palabra?  invierno,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  cumpleaños,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  otoño,0,3,0.0
 ¿En cuál de estas palabras se encuentra la letra L?  El cumpleaños de Lilian estuvo muy entretenido.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Z?  los zancudos son insectos muy ruidosos.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra C?  Mi profesora se llama Carolina.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra v?  Me gustaría viajar en avión.,0,4,0.0
 ¿En cuál de estas palabras se encuentra la letra Q?  Me gusta trabajar en equipo con mis amigos.,1,3,0.333333333333
 ¿Cuántas consonantes tiene la siguiente palabra?  elefante,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra H?  En el Polo Norte hay mucha nieve.,0,2,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  verano,1,5,0.2
 Presiona la letra o  ,14,24,0.583333333333
 ¿En cuál de estas palabras se encuentra la letra N?  Mi hermana se llama Natalia.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra R?  El vestido de Camila es rojo con lunares blancos.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra F?  Me pone muy feliz estar con mis papás.,1,2,0.5
 ¿Cuántas consonantes tiene la siguiente palabra?  castillo,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra L?  El loro conversa todo el día.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra F?  El fuego nos ayuda a calentarnos.,0,2,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  mariposa,0,2,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  oreja,0,3,0.0
 ¿En cuál de estas palabras se encuentra la letra Z?  La zampoña es un instrumento musical típico del norte de Chile.,0,2,0.0
 Presiona la letra t  ,11,20,0.55
 ¿Cuántas consonantes tiene la siguiente palabra?  vacaciones,0,2,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  hormiga,1,3,0.333333333333
 ¿En cuál de estas palabras se encuentra la letra K?  Valparaíso está a más de 100 kilómetros de Santiago.,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  pastel,0,2,0.0
 Presiona la letra g  ,8,19,0.421052631579
 ¿En cuál de estas palabras se encuentra la letra G?  Siempre al llegar del colegio guardo mi mochila.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra W?  Los tíos de Ignacio beben whisky.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra D?  Comer muchos dulces no es bueno para mi salud.,0,2,0.0
 Presiona la letra x  ,4,17,0.235294117647
 Presiona la letra a  ,8,24,0.333333333333
 ¿En cuál de estas palabras se encuentra la letra Z?  El primo de Eduardo es zurdo.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra D?  Es muy bueno hacer deporte.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra G?  Me gustó mucho la película que fui a ver ayer.,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  sombrero,0,2,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  feria,0,3,0.0
 ¿En cuál de estas palabras se encuentra la letra Z?  La zanahoria tiene muchas vitaminas.,0,3,0.0
 ¿En cuál de estas  dos palabras  se encuentra la I como sonido final?  ,0,2,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  bolso,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra v?  Me gusta tomar jugo en vaso plástico.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra M?  En mi barrio tengo muchos amigos.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Q?  "Iquique es conocida como la ""Tierra de Campeones"".",0,5,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  caballo,0,1,0.0
 Presiona la letra j  ,5,18,0.277777777778
 ¿En cuál de estas palabras se encuentra la letra W?  Antonia vio un video muy interesante en la web.,3,3,1.0
 ¿En cuál de estas palabras se encuentra la letra J?  En la mesa hay un jarro y un vaso.,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  primavera,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra G?  Mi mamá dice que no debo comer muchas hamburguesas porque tienen grasa.,3,3,1.0
 ¿En cuál de estas palabras se encuentra la letra J?  Las jirafas tienen el cuello muy largo.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Y griega?  No me gusta ponerme inyecciones porque me duelen.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Z?  Don Pedro cosechó unos zapallos muy grandes.,0,2,0.0
 ¿Cuál de las palabras tiene como inicial la letra F?  Yo juego con mi perrito fuera de la casa.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra D?  A veces me gusta dormir con mis papás.,0,1,0.0
 Presiona la letra r  ,16,35,0.457142857143
 ¿Cuál de las palabras tiene como inicial la letra C?  Mi casa está cerca del colegio.,4,6,0.666666666667
 ¿Cuál de las palabras tiene como inicial la letra F?  Las fábulas nos dejan enseñanzas.,1,2,0.5
 ¿Cuántas consonantes tiene la siguiente palabra?  mariposa,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  aceituna,0,2,0.0
 Presiona la letra n  ,6,15,0.4
 Presiona la letra p  ,3,16,0.1875
 Presiona la letra b corta  ,3,13,0.230769230769
 ¿Cuántas consonantes tiene la siguiente palabra?  tiburón,2,3,0.666666666667
 ¿En cuál de estas palabras se encuentra la letra G?  Mi papá se llama Gerardo.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra N?  Mi perrito Inti tiene su pelaje blanco.,2,3,0.666666666667
 ¿En cuál de estas palabras se encuentra la letra Q?  El gatito se quedó muy quieto mientras lo acariciaba.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra J?  Andrés y su hermano José fueron al cine.,0,1,0.0
 Presiona la letra doble b  ,11,24,0.458333333333
 Presiona la letra l  ,6,17,0.352941176471
 ¿Cuántas consonantes tiene la siguiente palabra?  profesor,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra b?  El bolso de mi mamá es muy grande y lindo.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra N?  El lunes es el primer día de la semana.,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  panaderos,0,1,0.0
 ¿En cuál de estas  dos palabras  se encuentra la O como sonido  inicial?  ,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  frutilla,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra x?  La venta de chocolates resultó muy exitosa.,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  feria,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  canario,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra v?  Hoy salí abrigado de casa porque hay mucho viento.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra H?  Mi mamá horneó un pastel de chocolate.,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  tiburón,0,3,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  bolso,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra C?  Mi colación favortita es el yogurt con cereales.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Y griega?  Mi papá dice que cuando era chico jugaba yoyó.,0,1,0.0
 Presiona la letra f  ,5,25,0.2
