Pregunta,Malas,Totales,Porcentaje
 ¿En cuál de estas palabras se encuentra la letra Z?  Los zorros viven en el desierto y las montañas.,1,3,0.333333333333
 Presiona la letra l  ,0,6,0.0
 ¿Cuál de las palabras tiene como inicial la letra F?  Felipe y Luis siempre juegan a la pelota.,0,2,0.0
 ¿Cuál de las palabras tiene como inicial la letra b?  Carlos toma jarabe para sentirse mejor. ,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra K?  Ayer compramos un kilo de manzanas.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Y griega?  Mi abuelito tiene una linda yegua en el campo.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra H?  Hoy está de cumpleaños mi prima Constanza.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Z?  José y Arturo visitaron el zoológico.,4,4,1.0
 ¿En cuál de estas palabras se encuentra la letra M?  La mochila de Juan es grande.,1,2,0.5
 Presiona la letra z  ,1,3,0.333333333333
 ¿En cuál de estas palabras se encuentra la letra Y griega?  Mi amigo y yo nos juntaremos a jugar.,0,1,0.0
 Presiona la letra u  ,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra v?  En mi colegio hay un taller de violín.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra P?  Paula y Camila juegan a las muñecas.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra M?  Yo tengo muchos amigos.,3,4,0.75
 ¿En cuál de estas palabras se encuentra la letra N?  Me gusta acostarme en el pasto y mirar las nubes.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra R?  El almuerzo estuvo muy rico.,3,3,1.0
 ¿En cuál de estas palabras se encuentra la letra v?  Me gusta tomar jugo en vaso plástico.,3,3,1.0
 ¿En cuál de estas palabras se encuentra la letra J?  En la mesa hay un jarro y un vaso.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra H?  En el zoologico vi un hipopótamo. ,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra P?  Mi mamá tiene el pelo muy largo.,3,3,1.0
 ¿En cuál de estas palabras se encuentra la letra N?  Una tórtola hizo un nido en mi jardín.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra G?  Todas mis amigas son muy generosas.,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra R?  Octavio regaló un ramo de flores a su tía.,0,1,0.0
 Presiona la letra e  ,0,3,0.0
 ¿En cuál de estas palabras se encuentra la letra Ñ?  En otoño hace mucho frio.,0,1,0.0
 Presiona la letra q  ,3,5,0.6
 ¿En cuál de estas palabras se encuentra la letra M?  En mi barrio tengo muchos amigos.,0,3,0.0
 ¿En cuál de estas palabras se encuentra la letra J?  Marcelo juega con su amigo Alvaro a la pelota.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra H?  En el Polo Norte hay mucha nieve.,3,3,1.0
 ¿Cuál de las palabras tiene como inicial la letra C?  Mi abuelita Carmen vendrá a verme mañana.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra R?  El vestido de Camila es rojo con lunares blancos.,4,4,1.0
 ¿Cuál de las palabras tiene como inicial la letra F?  Me pone muy feliz estar con mis papás.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra H?  Carlitos visitó un hogar de ancianos.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra J?  Andrés y su hermano José fueron al cine.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Z?  La zampoña es un instrumento musical típico del norte de Chile.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra M?  El reloj de mi casa suena muy fuerte.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra J?  Un joven ayudó a una abuelita a cruzar la calle.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra P?  A mi papá se le perdió la linterna.,0,2,0.0
 Presiona la letra g  ,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra G?  Siempre al llegar del colegio guardo mi mochila.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra W?  Los tíos de Ignacio beben whisky.,1,2,0.5
 ¿Cuál de las palabras tiene como inicial la letra b?  La escoba de mi tía está muy sucia. ,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra D?  Comer muchos dulces no es bueno para mi salud.,3,4,0.75
 Presiona la letra x  ,1,2,0.5
 Presiona la letra a  ,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra W?  Antonia vio un video muy interesante en la web.,3,3,1.0
 ¿En cuál de estas palabras se encuentra la letra Z?  El primo de Eduardo es zurdo.,1,3,0.333333333333
 ¿En cuál de estas palabras se encuentra la letra Z?  La zanahoria tiene muchas vitaminas.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra Q?  Me gusta trabajar en equipo con mis amigos.,2,3,0.666666666667
 ¿En cuál de estas palabras se encuentra la letra Q?  "Iquique es conocida como la ""Tierra de Campeones"".",1,2,0.5
 Presiona la letra j  ,1,4,0.25
 ¿Cuál de las palabras tiene como inicial la letra F?  Me regalaron una linda falda.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Y griega?  Felipe y Pamela son mis mejores amigos.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra F?  Yo juego con mi perrito fuera de la casa.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra C?  Mi casa está cerca del colegio.,1,2,0.5
 ¿Cuál de las palabras tiene como inicial la letra F?  Las fábulas nos dejan enseñanzas.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra J?  Mañana me juntaré con mis amigos a ver una pelicula.,0,1,0.0
 Presiona la letra n  ,1,3,0.333333333333
 Presiona la letra p  ,0,3,0.0
 Presiona la letra b corta  ,0,3,0.0
 ¿Cuál de las palabras tiene como inicial la letra C?  Mi profesora se llama Carolina.,1,3,0.333333333333
 ¿En cuál de estas palabras se encuentra la letra Y griega?  Mi mamá todas las mañanas hace yoga.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra R?  Ayer comí un racimo de uvas.,0,2,0.0
 Presiona la letra doble b  ,2,8,0.25
 ¿Cuál de las palabras tiene como inicial la letra b?  El bolso de mi mamá es muy grande y lindo.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra L?  El loro conversa todo el día.,0,2,0.0
 Presiona la letra t  ,0,3,0.0
 ¿En cuál de estas palabras se encuentra la letra H?  La gallina puso veinte huevos en el gallinero.,0,2,0.0
 ¿Cuál de las palabras tiene como inicial la letra C?  Mi colación favortita es el yogurt con cereales.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Y griega?  Mi papá dice que cuando era chico jugaba yoyó.,3,3,1.0
 Presiona la letra f  ,0,4,0.0
